"file.name","TMAO-d9","GABA-d6","Choline-d9","Creatinine-d3","Orn-15N2","His-15N","Carnitine-d3","MeHis-d3","F-Phe","F-Tyr","Cl-Tyr"
"20230202_1_12",2862.2373563182,1808.08632328513,3238.65651377402,8907.36701192416,3416.30288831161,9840.91223220578,5520.42159572601,5973.3686060102,2628.83328469927,1390.57959076434,3342.05534892728
"",10653.2313536385,2101.50290288393,34402.6027202058,12260.8024573809,11799.9908042231,13657.428634206,15547.4616858488,10758.2598828922,5902.56993776064,1509.7587200793,4277.41530227714
"",14191.0958015515,1817.05074476064,3541.43358045565,10679.2883311999,9022.85155934648,12742.1688836797,5595.32409119063,9359.48313558332,4331.30887790691,1439.95206268825,3518.61603274164
"",3027.40237968758,2020.28885471042,2462.62332070527,12753.0534745027,11890.335477934,11802.1513719782,4294.35117833835,6235.27976139842,4269.15267858533,1459.18761334775,2974.67182299896
"",2730.80894337143,2797.29576691079,40554.6146474321,11883.8441528609,14276.1375130698,13682.3406322809,5028.99247488491,13212.7189028271,4573.1316120342,1290.95953915537,3821.94265607977
"",28071.0362107396,9707.59170765553,73199.0924688956,15319.9245145641,22803.1430131528,19495.1664184941,5508.22870672342,21054.6018525137,4927.5077557451,2060.53742932284,4044.81255691917
"",32161.7801885321,3019.95584599961,4617.13317699377,20540.796040263,4291.12071684292,6994.8933183349,5609.578487096,6069.75583279509,5438.46478198917,2021.35199026822,4074.59098305133
"",17521.2987250302,3023.42857944354,5713.50778187468,15643.2499425257,11896.4425766341,7451.25517862743,5732.76519781421,7280.63681228561,5280.98039207602,1637.75115770043,2879.37349315828
"",34436.6041813596,3036.38951050349,8618.78196299165,27906.5144638698,12892.9572104696,7106.84568605222,6205.25388326455,7732.35961435754,5926.97637782516,2288.55304615897,3645.5059951319
"",25295.3839043372,12497.1003695807,67243.9666838287,26063.6148361429,25225.288743369,21573.3155619734,29593.1716696714,23992.1452935334,6708.660374381,2886.81785230752,5267.39488076013
"",15219.8567682402,3303.35015087511,7214.63476090843,23917.6386278211,7230.56449140885,7332.32993640378,6435.45168174976,7029.07840658603,5338.72211201261,2160.59071644917,3236.75839174124
"",11241.7340618751,3529.65333518994,8409.90955398166,22513.1515162308,9769.83603268338,8370.35821372895,6642.1980131657,7254.57270386133,4942.25591862486,1609.25500113148,3490.16778155491
"",12437.4372757604,3256.73254453988,9898.69140122812,11414.6275808219,8840.46595955093,7548.86053065162,6109.54405128637,10247.8235860277,4566.9441920219,1791.48930562451,3177.38845797745
"20230202_110_121",9120.80529087405,2208.99313171486,8746.22380142444,7846.56653951154,6126.10573329627,11899.3441248962,6416.22282794904,6158.08793892663,3788.95713851286,1621.98857044255,3491.54037128661
"",9226.58306135025,3796.12798209858,17816.3974928302,12195.3057320927,13873.1787402373,13926.370500145,8173.57255078273,9307.58063932608,6422.81496115057,4862.79599065313,4809.09987170871
"",19793.4993202682,5774.44981503234,48418.8971686012,11847.1426332883,16424.5391906203,16577.861297745,16928.7985420616,14311.517666841,9640.20576940459,3806.22526445791,4917.95434037031
"",29339.4504001541,11806.8512690488,97670.8780708942,18634.6958892991,29234.8322099479,21845.688116534,10212.4332110238,8248.09860651677,9376.24082235567,4736.24417035933,6478.63259338775
"",24764.6221131195,9776.41411023369,86989.1338384969,19224.250251262,22463.8845129644,20219.3797700129,24619.7376137756,19345.9346277803,10647.6260800329,12813.4613663662,7208.88359824951
"",27882.4268175398,7264.15554994728,94450.3484821099,24571.920490271,7177.54383696432,12281.4051482129,12732.0502504499,9280.82234382915,10063.9351497247,3770.53651846439,5899.86743451891
"",35358.9829640059,14998.7644733287,31368.6466673307,33731.4615341873,10084.7599203616,24928.523287061,33923.4238957467,9070.09153957466,10460.2351406972,4479.21926581567,6640.97549301905
