"file.name","peak.number","Valine Fragment","Glycine","TMAO","Lysine Fragment","Alanine","Unknown 1","Choline","Serine","Creatinine","Proline","Valine","Betaine","Threonine","Unknown 2","Hydroxyproline","Creatine","Isoleucine","Leucine","Asparagine","Ornithine","Aspartic Acid","Hypoxanthine","Betaine Adduct","Proline Betaine","Deoxycarnitine","Glutamine","Lysine","Glutamic Acid","Histidine","Aminooctanoic Acid","Me-Lys","Carnitine","Phenylalanine","Methylhistidine","Arginine","Citrulline","Tyrosine","ADMA","SDMA","Acetylcarnitine","Tryptophan","Propionylcarnitine","Cystine","Unknown 3","CysGly-CySS"
"20230202_1_12",1,"532377.2865249",1210088.2727248,"18057.7590058641","129146.996779899",1610878.18153182,"191571.459003088",803329.289753034,687330.590221654,1223347.26190264,2103898.81616594,"2293471.3303591","Impute",800326.035855377,"<LOD","321041.010441001",707671.153292481,996214.467379207,2070337.20739519,"661667.609958873","Impute","173941.609148968","90972.487020572","180536.165225554","195105.064754873","40195.4832420946",5966174.73895283,1454571.32057165,432818.808255498,1562109.49650564,"40465.3444715782",112832.807214042,339090.305542969,1817879.87641805,75095.1540063574,436710.934211962,247478.442893128,1510824.34038322,"18365.8362244385","27486.6992369619",344940.831914144,270936.63023557,"10938.5625989835",531824.375859878,"106665.786569153","191268.167205403"
"",2,"410403.554194047",565062.860288511,"<LOD","89280.6196590999",1044543.68521166,"78197.2948863215",508475.028486485,347358.206670912,1551097.62554617,2076796.62765829,"1990228.45428721","Impute",358741.883152537,"<LOD","168278.426144601",698775.555852295,1581777.52042951,1944110.03060557,"914764.488175186","Impute","258736.306162094","64487.8249174592","98181.7934426411","160076.009472239","43507.8899442795",3442006.83844899,935545.707537452,298531.583193372,1600984.43150086,"32305.4929329338",56999.120183943,308483.504018528,1362662.52529382,58826.0560126013,435771.239142509,84130.6426933085,960417.881012798,"11717.8086746997","23287.464102214",150194.623591333,109494.1865595,"9772.69377736552",167059.044263017,"44662.963405819","155685.609288454"
"",3,"421783.594465444",627048.092192068,"<LOD","78314.11002562",934785.84151386,"69894.4051307354",492905.030313291,549357.565821335,1264980.84668023,2071445.28612462,"2274025.36346513","1224920.96639738",443241.76782039,"93397.4262746173","Impute",727298.855213957,1640789.34360092,1561443.00418294,"968417.781051881","278310.472373008","274082.327507564","47402.7218382605","71928.8928157922","117080.093062646","51910.1765934179",3410049.67662405,810845.447447101,448756.28111541,1042969.84777895,"52910.5282616207",53128.626454201,305332.278264042,1380566.98552748,49671.9215280989,528917.012811536,65804.4157528912,1015594.41182341,"23514.419325319","30946.3988921707",154198.121657003,106050.093813356,"<LOD",199508.897523006,"41967.7835942754","115695.215805058"
"",4,"402050.116698771",507473.569588698,"<LOD","110704.152537028",1026672.09070375,"110519.494132889",478662.954967265,606663.897115244,507754.086050351,1640085.41283986,"1984400.97937464","1363434.66070955",463007.342152067,"<LOD","173468.770345779",504631.823183127,1624438.84691586,1948257.7461206,"582193.712570177","460042.740982268","169198.550612258","12819.5512749995","79593.6593934255","53014.0457915418","49583.1775751005",3827456.27022021,1193087.92658635,676526.049980799,678051.925692657,"33670.5929334353",46929.1791359904,244977.764856797,1015497.72195873,48774.6095163902,601242.169667383,81269.9580256094,969710.594867528,"15232.2492591257","33085.1627508283",163943.160417662,152525.031821096,"<LOD",153189.372299386,"76032.4920937577","85286.3155741832"
"",5,"494629.475504359",755750.930821107,"52395.385457766","119273.96939011",1361796.1611033,"120065.54114893",583436.596642075,628981.142791648,934463.891937715,1758308.49269316,"2394804.97962061","1282557.54366622",1064832.39228179,"103886.966532761","145985.951975686",1177188.56425377,1705372.6999952,1900653.73552499,"652247.339570428","405730.618234012","188612.630398372","68644.2741913372","82064.6106654311","236464.680752837","46408.3968313555",4358585.35143896,1313507.90623209,630778.107753151,761534.522845986,"27503.450767927",144164.053092581,1048331.21584777,1537218.62564247,59657.3710420869,1052639.28901328,168250.128478519,997439.777185775,"17354.7118790728","28672.9611096272",253957.479989061,192173.793336929,"32238.7879229427",334340.056566537,"44720.2631292455","118977.164399047"
"",6,"542915.923373653",987664.880778535,"<LOD","167626.072011182",1541038.00040769,"272446.65174836",625283.742451634,867555.953799292,1631239.08065097,2202516.89418866,"Impute","958598.401721998",858919.599367659,"69461.9443674859","189512.400590765",2512953.53473266,974359.993353156,2133303.85366341,"1103963.33364402","712192.291802386","323137.891426702","85329.0088188229","85420.5902800958","150498.779561452","12692.580570962",5566258.54155457,1771718.60138475,454680.508341513,1372174.69155643,"<LOD",80034.9153171221,281420.074882552,1606341.77661317,198898.959171325,606049.50046261,148505.547163763,1253191.1885493,"23349.5329578356","49785.7640256118",161587.570824469,297064.528483065,"<LOD",69866.7787384931,"124105.171673547","90611.7933102291"
"",7,"1393175.5020609",1481425.30640645,"<LOD","524748.006337974",2362999.25182191,"252534.088545804",616629.142385666,1822009.59386181,988692.234695252,3715940.71502691,"Impute","1338579.77749061",2588392.4728676,"75121.5543908352","384871.998240231",2348572.0649491,1933743.31175269,4902272.53194076,"767921.334080058","2458180.12687917","228641.982025998","19672.5592165173","69592.4320466258","144294.117766317","18029.0722048912",5402282.18530569,5677888.31060713,1849052.80651051,1823823.68138643,"<LOD",100705.288366882,430052.855817077,2409768.2477947,232052.42722456,2209830.04925073,344844.813040573,1097098.87841757,"33241.7858188858","52186.9607293651",161815.338983513,351273.709984879,"35543.3110197654",265061.94007262,"76385.5919378904","80241.7495306025"
"",8,"1342555.01413712",1471242.87486117,"Impute","539418.878112537",2221342.00163389,"201333.485698382",593886.28526592,1613728.04429945,1132580.56661321,3769411.16683485,"6234904.58714887","1295682.23519013",2562347.44656929,"85418.6590972506","449886.012626094",2339430.08249237,1663045.02667962,4648891.75154153,"745861.045679246","1940094.91063392","209599.88466557","38464.7063846287","93999.2521320344","131176.725802564","19667.5235258611",4876232.25107446,5775514.37542949,1352657.54591387,2598288.22942382,"14571.2778894889",100052.459356663,431452.672731738,2460846.17757304,226831.747331557,2255873.68238449,388421.877467327,1077642.70519573,"28011.7778852394","59415.5769416285",164354.976227686,310215.33658754,"24194.125378447",470667.718462538,"66453.3076280361","100213.706854812"
"",9,"700448.657589451",1098703.86305479,"Impute","212861.457544706",1668722.93714332,"87319.803038369",430540.679839452,960745.925322526,812871.281322377,2534408.52013342,"3025372.52229942","Impute",936039.509524909,"94726.9682160973","307772.405204972",1656701.47442583,1245690.97923447,2157716.16382911,"663332.781755796","1178508.37038014","189881.698913889","17509.0077027542","73752.7205750436","131601.427203668","34734.9518884439",3846950.2929221,2799257.21309599,1075609.88764284,1584801.20302741,"14985.0280198659",97305.8618214088,267382.917970566,1482674.88668147,165769.047290309,1344438.84675301,167793.961907304,729218.124906088,"23409.343089172","50887.1818459002",109096.006025885,398861.593475003,"12473.470530269",115836.878900217,"45239.3534660135","46575.2238387212"
"",10,"225241.767449869",721701.813160356,"Impute","83292.101514125",806668.477345744,"10955.654335556",869974.479575243,671709.533080406,885514.049442529,1602461.36853348,"892344.683341567","2761176.81282993",350994.608433826,"<LOD","429460.558582312",434566.972855204,676205.814218367,1322789.99531115,"691105.428727299","531382.6203262","202065.589217281","116186.547042328","131997.909275651","38731.351076704","48840.0286682954",2307878.14352318,897632.109816614,497330.016540534,462283.308135528,"61299.7708246848",33117.8974656534,507820.395482885,759064.10468787,97006.2482202039,362072.605417595,140088.240814883,894283.970183419,"10560.3397665646","25197.5787819604",311408.747123107,119426.085926096,"62359.4219395661",282960.229286858,"3805.46775894339","99176.2172597633"
"",11,"433128.020595795",884960.512300872,"Impute","197516.680744921",989399.488325736,"15839.1476789127",899461.800049975,977944.287030591,663874.409431191,1945183.90075149,"1877573.5445384","2814895.02840877",1275987.63976102,"95730.2019319977","522524.194950558",476061.984969578,1202078.95498499,1977606.19563487,"703167.632083502","931079.235875629","218198.332658685","44725.2996577745","127017.085166765","25346.347823991","73990.4095215555",3343975.96194833,2225199.91316344,286039.091914041,811406.941820023,"80869.4655235074",44709.6162027017,895833.33968952,1308041.23051584,67801.2213841846,778045.058719022,185619.389954364,1484323.46944168,"22216.568288494","19665.6032242326",468471.473855251,70502.2319382397,"82803.3399013355",363127.035609275,"24802.8303296575","125597.533947472"
